round_num,grand_prix,constructor,driver,lap,position,tyre_compound,tyre_life,sector_1_time,sector_2_time,sector_3_time,lap_time
1,Australian Grand Prix,Williams,ALB,23,13,HARD,11,29.798,18.173,37.287,85.258
1,Australian Grand Prix,Williams,ALB,24,13,HARD,12,29.842,18.245,37.247,85.334
1,Australian Grand Prix,Williams,ALB,25,13,HARD,13,29.99,18.291,37.288,85.569
1,Australian Grand Prix,Williams,ALB,26,13,HARD,14,29.871,18.341,37.57,85.782
1,Australian Grand Prix,Williams,ALB,27,13,HARD,15,29.901,18.232,37.601,85.734
1,Australian Grand Prix,Williams,ALB,28,13,HARD,16,30.362,18.456,37.824,86.642
1,Australian Grand Prix,Williams,ALB,29,12,HARD,17,30.359,18.191,38.064,86.614
1,Australian Grand Prix,Williams,ALB,30,12,HARD,18,30.327,18.382,37.763,86.472
1,Australian Grand Prix,Williams,ALB,31,12,HARD,19,30.134,18.46,37.929,86.523
1,Australian Grand Prix,Williams,ALB,32,12,HARD,20,30.357,18.353,37.749,86.459
1,Australian Grand Prix,Williams,ALB,33,12,HARD,21,30.255,18.445,61.33,110.03
1,Australian Grand Prix,Williams,ALB,34,12,SOFT,1,36.035,18.141,36.742,90.918
1,Australian Grand Prix,Williams,ALB,35,12,SOFT,2,29.483,18.135,36.828,84.446
1,Australian Grand Prix,Williams,ALB,36,12,SOFT,3,29.418,18.165,36.792,84.375
1,Australian Grand Prix,Williams,ALB,37,12,SOFT,4,29.898,18.205,36.949,85.052
1,Australian Grand Prix,Williams,ALB,38,12,SOFT,5,29.646,18.304,38.388,86.338
1,Australian Grand Prix,Williams,ALB,39,12,SOFT,6,29.97,18.028,36.86,84.858
1,Australian Grand Prix,Williams,ALB,40,12,SOFT,7,29.92,18.212,38.54,86.672
1,Australian Grand Prix,Williams,ALB,41,12,SOFT,8,29.843,18.061,36.972,84.876
1,Australian Grand Prix,Williams,ALB,42,12,SOFT,9,29.705,18.242,36.911,84.858
1,Australian Grand Prix,Williams,ALB,43,12,SOFT,10,29.745,18.256,36.955,84.956
1,Australian Grand Prix,Williams,ALB,44,12,SOFT,11,29.537,18.178,37.126,84.841
1,Australian Grand Prix,Williams,ALB,45,12,SOFT,12,29.548,18.205,36.949,84.702
1,Australian Grand Prix,Williams,ALB,46,12,SOFT,13,29.574,18.274,36.929,84.777
1,Australian Grand Prix,Williams,ALB,47,12,SOFT,14,29.602,18.169,37.044,84.815
1,Australian Grand Prix,Williams,ALB,48,12,SOFT,15,29.606,18.156,37.011,84.773
1,Australian Grand Prix,Williams,ALB,49,12,SOFT,16,29.474,18.34,36.971,84.785
1,Australian Grand Prix,Williams,ALB,50,12,SOFT,17,29.794,18.218,36.844,84.856
1,Australian Grand Prix,Williams,ALB,51,12,SOFT,18,29.468,18.211,37.07,84.749
