round,grand_prix,constructor,driver,lap,position,time
2,Saudi Arabia,Mercedes,RUS,21,8,94.144
2,Saudi Arabia,Ferrari,BEA,21,9,94.368
2,Saudi Arabia,Haas,HUL,21,10,96.369
2,Saudi Arabia,Kick Sauber,ZHO,21,11,95.399
2,Saudi Arabia,Haas,MAG,21,12,94.923
2,Saudi Arabia,Racing Bulls,TSU,21,13,94.71
2,Saudi Arabia,Alpine,OCO,21,14,94.925
2,Saudi Arabia,Williams,ALB,21,15,94.82
2,Saudi Arabia,Williams,SAR,21,16,95.082
2,Saudi Arabia,Kick Sauber,BOT,21,17,96.801
2,Saudi Arabia,Racing Bulls,RIC,21,18,96.779
1,Bahrain,Red Bull,VER,42,1,94.667
1,Bahrain,Red Bull,PER,42,2,94.525
1,Bahrain,Ferrari,SAI,42,3,94.861
1,Bahrain,Mercedes,RUS,42,4,95.136
1,Bahrain,Ferrari,LEC,42,5,94.982
1,Bahrain,McLaren,NOR,42,6,95.165
1,Bahrain,Mercedes,HAM,42,7,94.996
1,Bahrain,McLaren,PIA,42,8,95.341
1,Bahrain,Aston Martin,STR,42,9,96.343
1,Bahrain,Kick Sauber,ZHO,42,10,96.652
1,Bahrain,Aston Martin,ALO,42,11,116.899
1,Bahrain,Haas,MAG,42,12,96.31
1,Bahrain,Racing Bulls,TSU,42,13,95.981
1,Bahrain,Racing Bulls,RIC,42,14,95.338
1,Bahrain,Williams,ALB,42,15,95.799
1,Bahrain,Alpine,OCO,42,16,96.592
1,Bahrain,Alpine,GAS,42,17,96.631
1,Bahrain,Haas,HUL,42,18,116.108
1,Bahrain,Kick Sauber,BOT,42,19,96.374
1,Bahrain,Williams,SAR,42,20,94.735
1,Bahrain,Red Bull,VER,39,1,92.608
1,Bahrain,Red Bull,PER,39,2,94.607
1,Bahrain,Ferrari,SAI,39,3,94.709
1,Bahrain,Mercedes,RUS,39,4,95.204
1,Bahrain,Ferrari,LEC,39,5,95.087
1,Bahrain,McLaren,NOR,39,6,94.88
1,Bahrain,Mercedes,HAM,39,7,94.722
1,Bahrain,Aston Martin,ALO,39,8,97.946
1,Bahrain,McLaren,PIA,39,9,94.983
1,Bahrain,Aston Martin,STR,39,10,96.353
1,Bahrain,Kick Sauber,ZHO,39,11,96.637
1,Bahrain,Haas,MAG,39,12,95.876
1,Bahrain,Racing Bulls,TSU,39,13,96.125
1,Bahrain,Haas,HUL,39,14,97.476
1,Bahrain,Racing Bulls,RIC,39,15,95.475
1,Bahrain,Williams,ALB,39,16,95.856
1,Bahrain,Alpine,OCO,39,17,96.552
1,Bahrain,Alpine,GAS,39,18,96.537
1,Bahrain,Kick Sauber,BOT,39,19,97.189
1,Bahrain,Williams,SAR,39,20,97.016
2,Saudi Arabia,Red Bull,VER,31,1,92.454
2,Saudi Arabia,Red Bull,PER,31,2,92.825
2,Saudi Arabia,Ferrari,LEC,31,3,92.606
2,Saudi Arabia,McLaren,NOR,31,4,93.562
2,Saudi Arabia,Mercedes,HAM,31,5,93.384
2,Saudi Arabia,McLaren,PIA,31,6,93.352
2,Saudi Arabia,Aston Martin,ALO,31,7,93.67
2,Saudi Arabia,Mercedes,RUS,31,8,93.565
2,Saudi Arabia,Ferrari,BEA,31,9,93.446
2,Saudi Arabia,Haas,HUL,31,10,94.182
2,Saudi Arabia,Kick Sauber,ZHO,31,11,94.8
2,Saudi Arabia,Haas,MAG,31,12,96.061
2,Saudi Arabia,Alpine,OCO,31,13,95.912
2,Saudi Arabia,Racing Bulls,TSU,31,14,95.939
2,Saudi Arabia,Williams,ALB,31,15,95.84
2,Saudi Arabia,Williams,SAR,31,16,95.879
2,Saudi Arabia,Racing Bulls,RIC,31,17,95.433
2,Saudi Arabia,Kick Sauber,BOT,31,18,95.415
1,Bahrain,Red Bull,VER,7,1,97.038
1,Bahrain,Mercedes,RUS,7,2,98.082
1,Bahrain,Red Bull,PER,7,3,97.821
1,Bahrain,Ferrari,LEC,7,4,98.957
1,Bahrain,Ferrari,SAI,7,5,98.26
1,Bahrain,McLaren,NOR,7,6,97.86
1,Bahrain,McLaren,PIA,7,7,97.984
1,Bahrain,Aston Martin,ALO,7,8,98.008
1,Bahrain,Mercedes,HAM,7,9,97.839
1,Bahrain,Racing Bulls,TSU,7,10,98.364
1,Bahrain,Williams,ALB,7,11,98.971
1,Bahrain,Haas,MAG,7,12,100.058
1,Bahrain,Kick Sauber,ZHO,7,13,99.517
1,Bahrain,Williams,SAR,7,14,99.464
1,Bahrain,Racing Bulls,RIC,7,15,99.193
1,Bahrain,Alpine,OCO,7,16,99.152
1,Bahrain,Alpine,GAS,7,17,99.078
1,Bahrain,Aston Martin,STR,7,18,98.769
1,Bahrain,Kick Sauber,BOT,7,19,98.654
1,Bahrain,Haas,HUL,7,20,97.682
2,Saudi Arabia,Red Bull,VER,48,1,92.563
2,Saudi Arabia,Red Bull,PER,48,2,92.514
2,Saudi Arabia,Ferrari,LEC,48,3,93.364
2,Saudi Arabia,McLaren,PIA,48,4,92.657
2,Saudi Arabia,Aston Martin,ALO,48,5,92.629
2,Saudi Arabia,Mercedes,RUS,48,6,92.88
2,Saudi Arabia,Ferrari,BEA,48,7,92.262
2,Saudi Arabia,McLaren,NOR,48,8,92.369
2,Saudi Arabia,Mercedes,HAM,48,9,92.381
2,Saudi Arabia,Haas,HUL,48,10,92.52
2,Saudi Arabia,Haas,MAG,48,11,93.474
2,Saudi Arabia,Williams,ALB,48,12,92.711
2,Saudi Arabia,Alpine,OCO,48,13,93.481
2,Saudi Arabia,Racing Bulls,TSU,48,14,93.84
2,Saudi Arabia,Williams,SAR,48,15,93.383
2,Saudi Arabia,Racing Bulls,RIC,48,16,103.781
2,Saudi Arabia,Kick Sauber,BOT,48,17,92.947
2,Saudi Arabia,Kick Sauber,ZHO,48,18,92.761
1,Bahrain,Red Bull,VER,51,1,94.34
1,Bahrain,Red Bull,PER,51,2,94.94
1,Bahrain,Ferrari,SAI,51,3,95.282
1,Bahrain,Ferrari,LEC,51,4,95.418
1,Bahrain,Mercedes,RUS,51,5,95.852
1,Bahrain,McLaren,NOR,51,6,96.038
1,Bahrain,Mercedes,HAM,51,7,95.532
1,Bahrain,McLaren,PIA,51,8,95.8
1,Bahrain,Aston Martin,ALO,51,9,94.916
1,Bahrain,Aston Martin,STR,51,10,96.763
1,Bahrain,Kick Sauber,ZHO,51,11,97.042
1,Bahrain,Haas,MAG,51,12,96.929
1,Bahrain,Racing Bulls,TSU,51,13,97.067
1,Bahrain,Racing Bulls,RIC,51,14,97.103
1,Bahrain,Williams,ALB,51,15,97.493
1,Bahrain,Haas,HUL,51,16,95.529
1,Bahrain,Alpine,OCO,51,17,97.091
1,Bahrain,Alpine,GAS,51,18,95.334
1,Bahrain,Kick Sauber,BOT,51,19,96.819
1,Bahrain,Williams,SAR,51,20,95.972
2,Saudi Arabia,Red Bull,VER,1,1,95.505
2,Saudi Arabia,Ferrari,LEC,1,2,96.681
2,Saudi Arabia,Red Bull,PER,1,3,97.222
2,Saudi Arabia,Aston Martin,ALO,1,4,98.507
2,Saudi Arabia,McLaren,PIA,1,5,98.705
2,Saudi Arabia,McLaren,NOR,1,6,99.926
2,Saudi Arabia,Mercedes,RUS,1,7,100.459
2,Saudi Arabia,Mercedes,HAM,1,8,100.9
2,Saudi Arabia,Aston Martin,STR,1,9,102.429
2,Saudi Arabia,Racing Bulls,TSU,1,10,102.531
2,Saudi Arabia,Ferrari,BEA,1,11,102.621
2,Saudi Arabia,Haas,MAG,1,12,103.159
2,Saudi Arabia,Williams,ALB,1,13,103.626
2,Saudi Arabia,Haas,HUL,1,14,103.748
2,Saudi Arabia,Racing Bulls,RIC,1,15,104.329
2,Saudi Arabia,Alpine,OCO,1,16,104.388
2,Saudi Arabia,Kick Sauber,BOT,1,17,104.857
2,Saudi Arabia,Williams,SAR,1,18,105.46
2,Saudi Arabia,Kick Sauber,ZHO,1,19,105.821
2,Saudi Arabia,Alpine,GAS,1,20,121.453
1,Bahrain,Red Bull,VER,2,1,96.296
1,Bahrain,Ferrari,LEC,2,2,96.862
1,Bahrain,Mercedes,RUS,2,3,96.635
1,Bahrain,Red Bull,PER,2,4,96.541
1,Bahrain,Ferrari,SAI,2,5,97.236
1,Bahrain,Aston Martin,ALO,2,6,98.02
1,Bahrain,McLaren,NOR,2,7,98.01
1,Bahrain,McLaren,PIA,2,8,98.382
1,Bahrain,Mercedes,HAM,2,9,98.273
1,Bahrain,Racing Bulls,TSU,2,10,98.689
1,Bahrain,Williams,ALB,2,11,98.826
1,Bahrain,Haas,MAG,2,12,98.911
1,Bahrain,Kick Sauber,ZHO,2,13,98.92
1,Bahrain,Williams,SAR,2,14,98.481
1,Bahrain,Racing Bulls,RIC,2,15,99.509
1,Bahrain,Alpine,OCO,2,16,99.094
1,Bahrain,Alpine,GAS,2,17,99.059
1,Bahrain,Kick Sauber,BOT,2,18,98.259
1,Bahrain,Aston Martin,STR,2,19,97.987
1,Bahrain,Haas,HUL,2,20,130.911
2,Saudi Arabia,Red Bull,VER,50,1,91.773
2,Saudi Arabia,Red Bull,PER,50,2,92.831
2,Saudi Arabia,Ferrari,LEC,50,3,91.632
